NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Uf Svanen;Sundvägen 497;66980;Monå;Uusikaarlepyy;10.07.2018;Ennakkoon hyväksytty anniskelualue;0746781-8
Uimahallin parkkipaikka;Keuruuntie 25-29;42700;Keuruu;Keuruu;01.07.2019;Ennakkoon hyväksytty anniskelualue;0208388-2
Uittamon lava;Rykmentintie 29;20880;Turku;Turku;01.05.2019;Ennakkoon hyväksytty anniskelualue;0142329-1
Urheilu- ja messukeskus;Salpausselänkatu 7;15110;Lahti;Lahti;12.02.2019;Ennakkoon hyväksytty anniskelualue;1577570-6
Urheilutalo Feeniks ;Lallintie 1;30100;Forssa;Forssa;11.03.2019;Ennakkoon hyväksytty anniskelualue;0145626-1
Vaajakosken liikuntapuisto;Urheilutie 36 C;40800;Vaajakoski;Jyväskylä;15.06.2018;Ennakkoon hyväksytty anniskelualue;0174666-4
Vaasan jäähallin ympäristöalue;Rinnakkaistie 1;65350;Vaasa;Vaasa;14.08.2018;Ennakkoon hyväksytty anniskelualue;1025565-6
Valimocenter;Valimotie 13 A talo;00380;Helsinki;Helsinki;06.11.2019;Ennakkoon hyväksytty anniskelualue;0953838-4
Valkeaniemen Pirtti;Valkeaniementie 1;30100;Forssa;Forssa;02.10.2018;Ennakkoon hyväksytty anniskelualue;0153178-6
Vanha Sotku;Jääkärinkatu 9;50100;Mikkeli;Mikkeli;27.08.2020;Ennakkoon hyväksytty anniskelualue;0165116-3
Vanha Urheilukenttä;Koulukatu 9-12;10900;Hanko;Hanko;17.07.2018;Ennakkoon hyväksytty anniskelualue;0103166-9
Vanha Veitsitehdas ;Peltorivi 7;10470;Fiskari;Raasepori;31.08.2018;Ennakkoon hyväksytty anniskelualue;0214036-5
Vanha Viljamakasiini;Fiskarsintie 333;10470;Fiskari;Raasepori;13.06.2018;Ennakkoon hyväksytty anniskelualue;0214036-5
Vanhankylän Kartano;Tuulimyllyntie 24;04400;Järvenpää;Järvenpää;19.06.2019;Ennakkoon hyväksytty anniskelualue;0126541-4
Vanhonen;Ylä-Varmantie 103;19950;Luhanka;Luhanka;15.05.2019;Ennakkoon hyväksytty anniskelualue;N/A
