NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
R-Kioski, Kello;Kylätie 1;90820;Kello;Oulu;20.12.2019;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-Kioski, Kuusamo;Kitkantie 34;93600;Kuusamo;Kuusamo;29.06.2020;Vähittäismyyntilupa/max. 5.5 %;2756468-2
R-Kioski, Poltinaho;Hattelmalantie 5;13130;Hämeenlinna;Hämeenlinna;27.08.2015;Vähittäismyyntilupa/max. 5.5 %;2699941-4
R-Kioski, Suomussalmi;Keskuskatu 20;89600;Suomussalmi;Suomussalmi;04.06.2012;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-kioski  Eno;Enontie 50;81200;Eno;Joensuu;07.08.2019;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-kioski  Veikkola;Koskentie 3;2880;Veikkola;Kirkkonummi;11.05.2020;Vähittäismyyntilupa/max. 5.5 %;2628271-2
R-kioski Ala-Malmin tori;Ala-Malmin tori 4;700;Helsinki;Helsinki;24.08.2015;Vähittäismyyntilupa/max. 5.5 %;2701841-1
R-kioski Alajärvi;Välikatu 2;62900;Alajärvi;Alajärvi;26.11.2014;Vähittäismyyntilupa/max. 5.5 %;2647648-8
R-kioski Asema 1;Rautatieasema;100;Helsinki;Helsinki;01.02.2017;Vähittäismyyntilupa/max. 5.5 %;2803919-3
R-kioski Asematie Kangasniemi;Asematie 1;51200;Kangasniemi;Kangasniemi;01.12.2014;Vähittäismyyntilupa/max. 5.5 %;2650052-1
R-kioski Aura;Turuntie 2;21380;Aura;Aura;05.07.2016;Vähittäismyyntilupa/max. 5.5 %;2765768-6
R-kioski Espoo Aaltoyo metrokeskus;Otaniementie 12 C 103 LT 1;2150;Espoo;Espoo;28.10.2019;Vähittäismyyntilupa/max. 5.5 %;2918017-2
R-kioski Espoo Aurinkopiha;Leppävaarankatu 12;2600;Espoo;Espoo;05.08.2019;Vähittäismyyntilupa/max. 5.5 %;2918207-1
R-kioski Espoo Espoontori;Kamreerintie 3;2770;Espoo;Espoo;27.08.2018;Vähittäismyyntilupa/max. 5.5 %;2688979-2
R-kioski Espoo Iso Omena metro;Suomenlahdentie 1;2230;Espoo;Espoo;26.08.2019;Vähittäismyyntilupa/max. 5.5 %;2771401-1
R-kioski Espoo Jälkimaininki;Jälkimaininki 9;2320;Espoo;Espoo;14.10.2019;Vähittäismyyntilupa/max. 5.5 %;2998127-9
R-kioski Espoo Karakallio;Karakalliontie 10;2620;Espoo;Espoo;30.01.2020;Vähittäismyyntilupa/max. 5.5 %;2855589-2
R-kioski Espoo Kauklahti asema;Hansatie 3;2780;Espoo;Espoo;19.01.2015;Vähittäismyyntilupa/max. 5.5 %;2658765-5
R-kioski Espoo Keilaniemen;Keilaniementie 3;2150;Espoo;Espoo;30.04.2018;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-kioski Espoo Kuitinmäki;Kuunkehrä 4;2210;Espoo;Espoo;02.03.2020;Vähittäismyyntilupa/max. 5.5 %;2404400-8
R-kioski Espoo Leppävaara;Läkkisepänkuja 2;2600;Espoo;Espoo;26.08.2019;Vähittäismyyntilupa/max. 5.5 %;3008561-5
R-kioski Espoo Lähderanta;Lähderannantie 22 lh 3;2720;Espoo;Espoo;12.12.2016;Vähittäismyyntilupa/max. 5.5 %;2792399-9
R-kioski Espoo Mankkaa;Mankkaantie 2-4;2180;Espoo;Espoo;13.04.2015;Vähittäismyyntilupa/max. 5.5 %;2679859-1
R-kioski Espoo Merivalkama;Merivalkama 2;2320;Espoo;Espoo;19.08.2019;Vähittäismyyntilupa/max. 5.5 %;2998127-9
R-kioski Espoo Niittykumpu;Merituulentie 36 LT 08;2200;Espoo;Espoo;10.03.2020;Vähittäismyyntilupa/max. 5.5 %;2966046-7
R-kioski Espoo Sello 1 ulko;Leppävaarankatu 3-9;2600;Espoo;Espoo;02.07.2018;Vähittäismyyntilupa/max. 5.5 %;2918207-1
