Etunimi;Lukumäärä
Helmeri;492
Mikonpoika;492
Reinhold;491
Klas;489
Esaias;489
Osku;489
Ludvig;486
Andrew;484
Orvo;483
Torbjörn;483
Hussein;482
Joseph;481
Antti-Jussi;480
Ingemar;475
Valde;474
Kari-Pekka;473
Ronny;471
Mainio;467
Alvin;467
Raineri;466
Muhammad;463
Vilppu;463
Karl-Erik;460
Wille;457
Ohto;454
Aatami;454
Hilding;453
Turkka;452
Samppa;451
Maxim;451
Svante;449
Amir;446
Joa;443
Joshua;442
Soini;441
Antti-Pekka;440
Maunu;439
Igor;438
Karim;435
Villiam;433
Akusti;433
Asmo;432
Torolf;430
Torvald;429
Ahmad;425
Veini;424
Josef;423
Jonny;423
Pavel;420
Aadolf;419
George;418
Mertsi;415
Dominic;415
Aake;413
Mikke;412
Mårten;409
Kaino;409
Sune;409
Karl-Johan;409
Knut;408
Kusti;406
Sigurd;406
Hemming;403
Timonpoika;401
Nikita;400
Nino;396
Hemminki;396
Ola;395
Per-Erik;394
Herkko;393
Pietu;393
Augusti;392
Sixten;390
Jack;389
Folke;388
Kuisma;386
Leonardo;385
Aappo;385
Jalmar;382
Roman;382
Urmas;382
Eeti;381
Jukanpoika;381
Erkko;378
Matthew;378
Yusuf;376
Werneri;375
Matteus;373
Jason;372
Berndt;371
Maximus;370
Denis;369
Mustafa;367
Pirkka;366
Ville-Petteri;364
Bernt;364
Elo;364
Ian;364
Heikinpoika;362
Van;361
Levi;360
Lars-Erik;360
Kristofer;358
Pekanpoika;357
Abraham;356
Sture;355
Mitja;355
Mahamed;355
Carl-Johan;354
Jarinpoika;351
Alexis;350
Carlos;350
Rickard;349
Petro;346
Valio;345
Karo;344
Pete;342
Nikodemus;342
René;342
Wäinö;338
Benny;338
Aate;338
Hemmi;337
Said;336
Kennet;335
Ismail;333
Ingvar;331
Alexandre;331
Konrad;330
Totti;330
Aarto;328
Ernesti;323
Maurits;321
Staffan;321
Esa-Pekka;318
Maksim;318
Amin;316
Miio;314
Jaani;313
Samir;312
Jetro;312
Masi;308
Milton;308
Sören;306
Olle;306
